variable,description,type,notes
participant,Repository-specific anonymous participant identifier used only for linkage across deposited files,string,R01-R10
2-Hydroxybutyric,Transformed score for 2-Hydroxybutyric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Hydroxyhippuric,Transformed score for 2-Hydroxyhippuric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Hydroxyisocaproic,Transformed score for 2-Hydroxyisocaproic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Hydroxyisovaleric,Transformed score for 2-Hydroxyisovaleric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Hydroxyphenylacetic,Transformed score for 2-Hydroxyphenylacetic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Oxo-4-methiolbutyric,Transformed score for 2-Oxo-4-methiolbutyric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Oxoglutaric,Transformed score for 2-Oxoglutaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Oxoisocaproic,Transformed score for 2-Oxoisocaproic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Oxoisovaleric,Transformed score for 2-Oxoisovaleric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Hydroxy-3-methylglutaric,Transformed score for 3-Hydroxy-3-methylglutaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Hydroxybutyric,Transformed score for 3-Hydroxybutyric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Hydroxyglutaric,Transformed score for 3-Hydroxyglutaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Indoleacetic,Transformed score for 3-Indoleacetic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Methyl-2-oxovaleric,Transformed score for 3-Methyl-2-oxovaleric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Methylglutaconic,Transformed score for 3-Methylglutaconic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Methylglutaric,Transformed score for 3-Methylglutaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Oxoglutaric,Transformed score for 3-Oxoglutaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
4-Cresol,Transformed score for 4-Cresol. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
4-Hydroxybenzoic,Transformed score for 4-Hydroxybenzoic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
4-Hydroxybutyric,Transformed score for 4-Hydroxybutyric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
4-Hydroxyhippuric,Transformed score for 4-Hydroxyhippuric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
4-Hydroxyphenylacetic,Transformed score for 4-Hydroxyphenylacetic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
4-Hydroxyphenyllactic,Transformed score for 4-Hydroxyphenyllactic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
5-Hydroxyindoleacetic (5-HIAA),Transformed score for 5-Hydroxyindoleacetic (5-HIAA). Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
5-Hydroxymethyl-2-furoic,Transformed score for 5-Hydroxymethyl-2-furoic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Acetoacetic,Transformed score for Acetoacetic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Aconitic,Transformed score for Aconitic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Adipic,Transformed score for Adipic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Arabinose,Transformed score for Arabinose. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Ascorbic,Transformed score for Ascorbic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Carboxycitric,Transformed score for Carboxycitric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Citramalic,Transformed score for Citramalic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Citric,Transformed score for Citric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
DHPPA (Beneficial Bacteria),Transformed score for DHPPA (Beneficial Bacteria). Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Dihydroxyphenylacetic (DOPAC),Transformed score for Dihydroxyphenylacetic (DOPAC). Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Ethylmalonic,Transformed score for Ethylmalonic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Fumaric,Transformed score for Fumaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
"Furan-2,5-dicarboxylic","Transformed score for Furan-2,5-dicarboxylic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.",float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Furancarbonylglycine,Transformed score for Furancarbonylglycine. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Glutaric,Transformed score for Glutaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Glyceric,Transformed score for Glyceric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Glycolic,Transformed score for Glycolic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
HPHPA,Transformed score for HPHPA. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
HVA / VMA Ratio,Transformed score for HVA / VMA Ratio. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
HVA/ DOPAC Ratio,Transformed score for HVA/ DOPAC Ratio. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Hippuric,Transformed score for Hippuric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Homogentisic,Transformed score for Homogentisic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Homovanillic (HVA),Transformed score for Homovanillic (HVA). Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Kynurenic,Transformed score for Kynurenic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Lactic,Transformed score for Lactic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Malic,Transformed score for Malic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Malonic,Transformed score for Malonic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Mandelic,Transformed score for Mandelic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Methylcitric,Transformed score for Methylcitric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Methylmalonic,Transformed score for Methylmalonic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Methylsuccinic,Transformed score for Methylsuccinic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
N-Acetylaspartic,Transformed score for N-Acetylaspartic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
N-Acetylcysteine (NAC),Transformed score for N-Acetylcysteine (NAC). Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Orotic,Transformed score for Orotic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Oxalic,Transformed score for Oxalic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Pantothenic (B5),Transformed score for Pantothenic (B5). Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Phenyllactic,Transformed score for Phenyllactic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Phenylpyruvic,Transformed score for Phenylpyruvic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Pyridoxic (B6),Transformed score for Pyridoxic (B6). Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Pyroglutamic,Transformed score for Pyroglutamic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Pyruvic,Transformed score for Pyruvic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Quinolinic,Transformed score for Quinolinic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Sebacic,Transformed score for Sebacic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Suberic,Transformed score for Suberic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Succinic,Transformed score for Succinic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Tartaric,Transformed score for Tartaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Thymine,Transformed score for Thymine. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Tricarballylic,Transformed score for Tricarballylic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Uracil,Transformed score for Uracil. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
Vanillylmandelic (VMA),Transformed score for Vanillylmandelic (VMA). Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
